"rank","title","score"
"1","Sousou no Frieren","9.10"
"2","Fullmetal Alchemist: Brotherhood","9.10"
"3","Steins;Gate","9.07"
"4","GintamaÂ°","9.06"
"5","Shingeki no Kyojin Season 3 Part 2","9.05"
"6","Bleach: Sennen Kessen-hen","9.04"
"7","Gintama: The Final","9.04"
"8","Hunter x Hunter (2011)","9.04"
"9","Gintama'","9.03"
"10","Gintama': Enchousen","9.03"
"11","Kaguya-sama wa Kokurasetai: Ultra Romantic","9.03"
"12","Ginga Eiyuu Densetsu","9.02"
"13","Fruits Basket: The Final","8.99"
"14","Gintama.","8.98"
"15","Shingeki no Kyojin: The Final Season - Kanketsu-hen","8.97"
"16","Gintama","8.94"
"17","3-gatsu no Lion 2nd Season","8.93"
"18","Clannad: After Story","8.93"
"19","Koe no Katachi","8.93"
"20","Code Geass: Hangyaku no Lelouch R2","8.91"
"21","Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare","8.91"
"22","Jujutsu Kaisen 2nd Season","8.89"
"23","Gintama.: Shirogane no Tamashii-hen - Kouhan-sen","8.88"
"24","Owarimonogatari 2nd Season","8.88"
"25","Violet Evergarden Movie","8.88"
"26","Monster","8.87"
"27","Kimi no Na wa.","8.84"
"28","Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai","8.82"
"29","Bocchi the Rock!","8.81"
"30","Gintama.: Shirogane no Tamashii-hen","8.81"
"31","Kingdom 3rd Season","8.81"
"32","The First Slam Dunk","8.81"
"33","Vinland Saga Season 2","8.81"
"34","Mob Psycho 100 II","8.80"
"35","Kizumonogatari III: Reiketsu-hen","8.79"
"36","Shingeki no Kyojin: The Final Season","8.79"
"37","Kimetsu no Yaiba: Yuukaku-hen","8.78"
"38","Sen to Chihiro no Kamikakushi","8.78"
"39","Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou","8.78"
"40","Hajime no Ippo","8.77"
"41","Shingeki no Kyojin: The Final Season Part 2","8.77"
"42","Monogatari Series: Second Season","8.76"
"43","Vinland Saga","8.75"
"44","Cowboy Bebop","8.75"
"45","""Oshi no Ko""","8.74"
"46","Kingdom 4th Season","8.74"
"47","Tian Guan Cifu Er","8.74"
"48","Bleach: Sennen Kessen-hen - Ketsubetsu-tan","8.73"
"49","Mushishi Zoku Shou 2nd Season","8.73"
"50","Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen","8.72"
"51","Ashita no Joe 2","8.72"
"52","86 Part 2","8.71"
"53","Mob Psycho 100 III","8.71"
"54","One Piece","8.71"
"55","Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen","8.70"
"56","Code Geass: Hangyaku no Lelouch","8.70"
"57","Great Teacher Onizuka","8.69"
"58","Kusuriya no Hitorigoto","8.69"
"59","Mushishi Zoku Shou","8.69"
"60","Shiguang Dailiren","8.69"
"61","Mushoku Tensei: Isekai Ittara Honki Dasu Part 2","8.68"
"62","Odd Taxi","8.68"
"63","Mononoke Hime","8.67"
"64","Pluto","8.67"
"65","Violet Evergarden","8.67"
"66","Bungou Stray Dogs 5th Season","8.67"
"67","Fate/stay night Movie: Heaven's Feel - III. Spring Song","8.67"
"68","Hajime no Ippo: New Challenger","8.66"
"69","Howl no Ugoku Shiro","8.66"
"70","Mushishi","8.66"
"71","Made in Abyss","8.65"
"72","Made in Abyss: Retsujitsu no Ougonkyou","8.65"
"73","Shigatsu wa Kimi no Uso","8.65"
"74","Natsume Yuujinchou Shi","8.64"
"75","Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen","8.64"
"76","Haikyuu!! Second Season","8.63"
"77","Jujutsu Kaisen","8.63"
"78","Tengen Toppa Gurren Lagann","8.63"
"79","Made in Abyss Movie 3: Fukaki Tamashii no Reimei","8.62"
"80","Natsume Yuujinchou Roku","8.62"
"81","Ping Pong the Animation","8.62"
"82","Shingeki no Kyojin Season 3","8.62"
"83","Death Note","8.62"
"84","Kage no Jitsuryokusha ni Naritakute! 2nd Season","8.61"
"85","Cyberpunk: Edgerunners","8.60"
"86","Evangelion: 3.0+1.0 Thrice Upon a Time","8.60"
"87","Hajime no Ippo: Rising","8.60"
"88","Suzumiya Haruhi no Shoushitsu","8.60"
"89","Kimetsu no Yaiba Movie: Mugen Ressha-hen","8.60"
"90","Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai","8.60"
"91","Mushishi Zoku Shou: Suzu no Shizuku","8.59"
"92","JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3","8.59"
"93","JoJo no Kimyou na Bouken Part 5: Ougon no Kaze","8.58"
"94","Kenpuu Denki Berserk","8.58"
"95","Kizumonogatari II: Nekketsu-hen","8.57"
"96","Natsume Yuujinchou Go","8.57"
"97","Natsume Yuujinchou San","8.57"
"98","Ookami Kodomo no Ame to Yuki","8.57"
"99","Shouwa Genroku Rakugo Shinjuu","8.57"
"100","Spy x Family","8.57"